GFP-2,60705047,986424,.0162,8169,1796.84
YAF-1,85527561,657090,.0076,5402,1847.29
GFP-1,102975902,9880864,.0959,48234,2188.55
GFP-3,107525431,9478899,.0881,50277,2188.3
YAF-3,138338142,9387438,.0678,57824,2109.56
YAF-2,247342198,10518603,.0425,56496,2133.24
GFP-2,60705047,427315,.0070,3120,839.004
GFP-3,107525431,3964412,.0368,28563,936.011
GFP-1,102975902,4658033,.0452,33683,941.889
YAF-1,85527561,396064,.0046,2686,816.056
YAF-3,138338142,4561119,.0329,34124,906.117
YAF-2,247342198,5441183,.0219,39721,917.844
GFP-2,60705047,427315,.0070,3120,839.004
GFP-3,107525431,3964412,.0368,28563,936.011
YAF-1,85527561,396064,.0046,2686,816.056
GFP-1,102975902,4658033,.0452,33683,941.889
YAF-3,138338142,4561119,.0329,34124,906.117
YAF-2,247342198,5441183,.0219,39721,917.844
GFP-2,60705047,1760497,.0290,27420,825.588
YAF-1,85527561,1251502,.0146,26229,684.944
GFP-1,102975902,12775610,.1240,96775,1322.34
GFP-3,107525431,12255874,.1139,100069,1331.55
YAF-3,138338142,13122493,.0948,121439,1250.77
